query_id,query_text,detector_label,retrieval_path,rank,doc_id,headline,news_text_or_snippet,n_hits_returned_phase9,ranks_2_to_5_recovered
H031,petrol ki mojooda qeemat per litre pakistan,ROMAN,roman_bm25_method_D,1,63529,شہرقائد میں پیٹرول کی فروخت تاحال متاثر شہری پریشان,کراچی جون 2020 شہرقائد میں پیٹرول کی فروخت تاحال متاثر شہری پریشان ہوگئے شہر کے کئی پمپس پر پیٹرول اور ڈیزل ختم ہوگیا پیٹرولیم ڈیلرز اور پیٹرولیم کمپنیز نے معاملہ ایک دوسرے پرڈال دیا شہر قائد میں پیٹرول کی کمی شہر کے کئی پمپس پر پیٹرول اور ڈیزل ختم ہوگیا پیٹرولیم ڈیلرز اور پیٹرولیم کمپنیز نے معاملہ ایک دوسرے پرڈال دیا ائل کمپنیز کا کہنا ہے کہ پیٹرول سستاہونے کی اطلاعات کی وجہ سے پمس مالکان نے خریداری نہیں کی دوسری جانب چیئرمین پاکستان پیٹرولیم ڈیلرز ایسوسی ایشن عبدالسمیع خان کا کہنا ہے کہ بھی پ…,50,0
H032,aaj stock exchange kitne points par,ROMAN,roman_bm25_method_D,1,73269,بینک اف انگلینڈ نے شرح سود میں 25 بیسسز پوئنٹس کمی کردی,برطانوی معیشت کی بحالی کے لئے بینک اف انگلینڈ نے شرح سود میں 25 بیسسز پوئنٹس کمی کردی معیشت کو اربوں پاونڈ بھی فراہم کرنے کا اعلان کیا گیا ہےبرطانوی مرکزی بینک کی مانیٹری پالیسی کمیٹی نے بینک ریٹ اعشاریہ دو پانچ فیصد کردیا اسکے علاوہ معیشت کو استحکام دینے کے لئے دس ارب پاونڈ کے کارپوریٹ اور ساٹھ ارب پاونڈ کے سرکاری بانڈز خریدنے کا اعلان کیا ہےیورپی یونین سے نکلنے کے بعد برطانوی پاونڈ کی شرح تبادلہ میں کمی اور معاشی نمو کی توقعات کم ہوئی تھیں برطانوی معیشت کی بحالی کے لئے بینک اف انگلینڈ نے شرح …,50,0
H033,ڈیزل ریٹ,URDU,urdu_bm25,1,3055,پٹرولیم مصنوعات کی قیمتوں میں اضافے کا امکان,اسلام باد ممکنہ ٹیکس ریٹ میں اضافے کو مدنظر رکھتے ہوئے ئل اینڈ گیس ریگولیٹری اتھارٹی اوگرا نے یکم مارچ سے ئندہ پندرہ روز کے لیے تمام پٹرولیم مصنوعات کی قیمتوں میں اضافے کا فیصلہ کرلیااوگرا کی جانب سے حکومت کو بھیجی گئی سمری میں ہائی اسپیڈ ڈیزل کی قیمت میں 27 فیصد پٹرول کی قیمت میں 415 فیصد مٹی کے تیل کی قیمت میں 41 فیصد اور لائٹ ڈیزل ئل کی قیمت میں 252 فیصد اضافے کی تجویز دی گئی ہےڈان اخبار کی رپورٹ کے مطابق اوگرا نے ہائی اسپیڈ ڈیزل کی قیمت میں اضافے کے لیے جنرل سیلز ٹیکس کی مقررہ حد 295 سے بڑھ…,50,0
H034,سونا ریٹ,URDU,urdu_bm25,1,38436,سونے کی قیمت کا نیا ریکارڈ فی تولہ ایک لاکھ 23 ہزار800 روپے کا ہوگیا,کراچی 92 نیوز سونے کی قیمت کا نیا ریکارڈ فی تولہ سونا 5100 روپے مہنگا ایک لاکھ 23 ہزار800 روپے کا ہوگیا 10 گرام سونا ہزار 372 روپے اضافے سے ایک لاکھ ہزار138 روپے کا ہوگیا عالمی مارکیٹ میں سونا 46 ڈالر اضافے سے 1942 ڈالر فی اونس ہوگیا تاریخ میں پہلی بار سونا اس سطح پر یا سونے کی نئی قیمت نے 2011 میں ہونے والے سونے کے مہنگے ترین ریٹ کا ریکارڈ توڑ دیا ہے,50,0
H035,football score,ROMAN,roman_bm25_method_D,1,56211,یوئیفا چیمپیئنز لیگ یووینٹس کی مناکو کو شکست فائنل میں رسائی,کارڈف 10 مئی 2017 یوئیفا چیمپیئنز لیگ فٹبال میں یووینٹس نے مناکو کو سیمی فائنل کے دوسرے لیگ میچ میں کے مقابلے میں گولز سے شکست دیکر فائنل کھیلنے کا اعزاز حاصل کرلیا یوئیفا چیمپیئنز لیگ فٹبال کے سیکنڈ لیگ سیمی فائنل میں یووینٹس نے مناکو کو کے مقابلے میں گولز سے شکست دیدی یووینٹس کی جانب سے پہلا گول کھیل کے 33ویں منٹ میں ماریو میڈزوکچ نے کیا جبکہ دانی لویس نے 40ویں منٹ میں شاندار گول اسکور کرکے اپنی ٹیم کو 02 کی برتری دلادی دوسرے ہاف میں میپی نے مناکو کیلئے واحد گول اسکور کیا اس طرح یوونٹس نے اگر…,50,0
H036,diesel rate,ROMAN,roman_bm25_method_D,1,106535,عامر خان کی نئی فلم دھو کے ویڈیو گیم کا ٹیزر ٹریلر جا ری,ممبئیاین جی ٹیعامر خان کی نئی ایکشن فلم دھو تھر کی پر ومو شن کے لیے تیار کیے گئے ویڈیو گیم کا ٹیزر ٹریلر جا ری کر دیا گیا ہے ویڈیو گیم میں عا مر خان ابھیشک بچن اور ادے چو پڑ کو اینی میٹیڈ کر داروں کے روپ میں پیش کیا گیا ہے ٹیزر ٹریلر ٹریلر میں عامرخان چوری کی کوششو مصروف جبکہ ابھیشک اور ادے با ئیکس دو ڑاتے نظر رہے ہیں اس فلم میں جہاں عامر خان کو ولن اور کترینہ کو انکی گرل فرینڈ بنایا گیا ہے وہیں ادے چوپڑا اور ابھیشک بچن ایک بار بھر بطور پولیس افسر اپنے پچھلے رولز میں موجود ہیں جبکہ جیکی شیروف ب…,1,0
H037,ملک میں پٹرول ڈیزل اور بجلی کے نرخ بڑھنے سے ٹرانسپورٹ اور گھریلو بجٹ پر پڑنے والے بوجھ کا تفصیلی جائزہ,URDU,urdu_bm25,1,75117,پٹرول سستا ہونے کے با وجود ٹیٹرا ملک کی قیمت میں اضافہ,کراچیجہاں پٹرول ڈیزل کچھ سستا ہوا تو عوا کی جیب کیلئے اب دودھ بھاری پڑنے لگا ہےایک بڑی ملٹی نیشنل کمپنی کی جانب سے فی لیٹر دودھ کی قیمت میں یکدم 10 روپے اضافہ کردیا گیا کراچی ریٹیلرز گروسرزگروپ کے جنرل سیکرٹی فرید قریشی نے جیو نیوز کو بتایا کہ ایک بڑی ملٹی نیشنل کمپنی کی جانب سے فی لیٹر دودھ کی قیمت 110 سے بڑھا کر 120 روپے لیٹرکردی گئی ہے ان کا کہنا تھا کہ حکومت کی جانب سے پٹرول ڈیز اور بجلی کے نرخ کم ہونے کے بعد کھانے پینے کی اشیاء کی قیمتوں میں کمی ہونی چاہئے تھی لیکن کمپنی کی جانب سے کوئی جو…,50,0
H038,قومی کرکٹ ٹیم کی حالیہ شکست کے بعد سلیکٹرز کی حکمت عملی اور کھلاڑیوں کی فارم پر ایک گہری نظر,URDU,urdu_bm25,1,86965,کامران اکمل کو ٹیم میں شامل کرنے سے مکی ارتھرکا انکار,پاکستان کرکٹ ٹیم کے ہیڈ کوچ مکی ارتھرنے ڈومیسٹک کرکٹ کے کامیاب بیٹسمین کامران اکمل کو پاکستان ٹیم میں شامل کرنے سے انکار کردیا ہے انکار کے بعد پاکستان کے قومی سیزن کی ساکھ پر سوالات اٹھائے جارہے ہیںایسے میں بدھ کو چیف سلیکٹر انضمام الحق نے پی سی بی چیئر مین کی ہدایت پرپنڈی اسٹیڈیم میں ریجنل کوچز سے ملا قات کی اور انہیں ہدایت کی کہ وہ تینوں فارمیٹس کے لئے باصلاحیت کھلاڑی تلاش کریں اور ان کے بارے میں سلیکٹرز کو بتائیں اس موقع پر قومی اکیڈمی کے ہیڈ کوچ مشتا احمدبھی انضمام الحق کے ساتھ موجود تھےاس …,50,0
H039,petrol diesel aur bijli ke rates barhne se transport aur gharailu budget par parne wale bojh ka tafseeli jaiza,ROMAN,roman_bm25_method_D,1,64947,عوام پر بجلی بم بھی گرادیا گیا,اسلام اباد 04 اپریل 2019 حکومت نے پیٹرول اور ایل پی جی کے بعد اب بجلی کی قیمت میں 81 پیسے فی یونٹ اضافہ کر دیاہے اضافے سے صارفین پر ارب کروڑ کا بوجھ پڑے گا نیپرا کے مطابق اضافہ فروری کی فیول پرائس ایڈجسٹمنٹ کی مد کیا گیا ہےبجلی کی قیمتوں میں اضافے کی وجہ بیان کرتے ہوئے نیپرا کا کہنا تھا کہ گیس کی قیمتیں بڑھنے سے ارب کا بوجھ پڑا جبکہ فروری کے دوران پانی سے 2277 فیصد بجلی پیدا کی گئی یاد رہے سینٹرل پاور پروجیزنگ ایجنسی سی پی پی اے نے نیپرا کو ماہانہ فیول ایڈجسٹمنٹ کی مد میں بجلی مہنگی کرنے کی باق…,50,0
H040,qaumi cricket team ki haaliya shikast ke baad selectors ki hikmat e amli aur players ki form par ek gehri nazar,ROMAN,roman_bm25_method_D,1,109897,کراچی چیمبر اور پاک جاپان بزنس فورم میں ایم او یو پر دستخط,جاپان سے ٹیکنالوجی کی منتقلی کے لیے موثر حکمت عملی وضع کی جائے جنید اسماعیل فوٹو فائل کراچیکراچی چیمبر اف کامرس اینڈ انڈسٹری کے سی سی ائی اور پاک جاپان بزنس فورم پی جے بی ایف نے باہمی مفاہمت کی یادداشت ایم اویو پر دستخط کردیے کراچی چیمبر اور پاک جاپان بزنس فورم نے باہمی مفاہمت کی یادداشت پر دستخط کیے ہیںجس کے مطابق دونوں اداروں نے اپنے ممبران کو متاثر کرنے والے مشترکہ چیلنجزکی نشاندہی کرنے اور ان چیلنجز سے نمٹنے کے لیے مشترکہ حکمت عملی وضع کرنے پر اتفاق کیا تاکہ پاکستان اور جاپان کے مابین تجارت…,50,0
