# PROVENANCE: DERIVED / CURRENT-STATE. This is NOT the original historical Phase 2 label audit.
# It did not exist in repo history. It is a FRESH re-application of Rules 1-4 from
"# docs/labeling_guidelines.md against the CURRENT data/training_queries_real.py (n=409),"
# generated in this audit session. The original historical audit's per-query decisions
"# (which 36 were flagged ambiguous, which 7 were flipped) are NOT recoverable from this"
# repository -- those were human judgments never committed anywhere. See
# label_audit_8_manual_review.csv for that gap documented explicitly.

query,actual_label_in_training_data,rule_based_outcome_TODAY,rule_agrees_with_actual_label
پاکستان میں زمینی اصلاحات کی ضرورت اور کسانوں کو زمین کی ملکیت دینے کی تجاویز,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں ڈیم بنانے کی ضرورت اور موجودہ آبی ذخائر کی صورتحال کا جائزہ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں فنون لطیفہ اور ثقافت کے فروغ کے لیے حکومتی اور نجی کوششیں,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں بیرون ملک مقیم پاکستانیوں کی ترسیلات زر اور قومی معیشت پر ان کے اثرات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں قدرتی آفات سے نمٹنے کے لیے انتظامی ڈھانچے اور تیاری کا جائزہ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں مدارس کی تعلیم میں اصلاحات اور انہیں قومی دھارے میں لانے کی کوششیں,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں گرمی کی لہر کے اسباب اور عوام کو محفوظ رکھنے کے لیے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں جوہری توانائی کے پلانٹس کی کارکردگی اور مستقبل کے منصوبوں کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں نجی اسپتالوں کی فیسوں میں بے تحاشا اضافے پر قابو پانے کے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں پانی کی تقسیم کے نظام میں اصلاحات اور صوبوں کے درمیان تنازعات کا حل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں خوراک کی ذخیرہ اندوزی کے خلاف کارروائیاں اور عوام کو ریلیف کے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں ماحول دوست تعمیرات کے رجحان اور گرین بلڈنگ کے معیارات کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں ایکسپورٹ زونز کی ترقی اور غیر ملکی سرمایہ کاری کو راغب کرنے کے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں فری لانسنگ کے فروغ اور نوجوانوں کو آن لائن روزگار فراہم کرنے کے منصوبے,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں اقوام متحدہ کے اداروں کی سرگرمیاں اور فلاحی منصوبوں کی تفصیلات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں لوکل گورنمنٹ نظام کی بحالی اور اختیارات کی نچلی سطح پر منتقلی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں مصالحتی عدالتوں کے قیام اور متبادل تنازعہ حل کے طریقوں کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں مویشی پروری کی صنعت کو درپیش مسائل اور حکومتی امداد کی تفصیلات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں شمسی توانائی کے منصوبوں کی توسیع اور گھریلو استعمال کے مواقع,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں ہنرمند مزدوروں کی بیرون ملک روزگار کے مواقع اور حکومتی تعاون کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں اسلامی بینکاری کے فروغ اور روایتی بینکنگ سے اس کا موازنہ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں اقتصادی راہداری کے تحت توانائی منصوبوں کی پیشرفت اور فوائد کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں بلند عمارتوں کی تعمیر اور شہری منصوبہ بندی پر اس کے اثرات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں کمزور طبقات کے لیے سستی رہائش کی فراہمی کے سرکاری منصوبوں کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں سرحد پار دہشت گردی کے خلاف کارروائیوں اور اتحادیوں کے ساتھ تعاون,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں صوبائی خودمختاری اور مرکز کے ساتھ تعلقات کے حوالے سے تنازعات کا جائزہ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں ماہی گیری کی صنعت کے فروغ اور ماہی گیروں کے مسائل کی تفصیل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں کھانے پینے کی اشیاء میں ملاوٹ کے خلاف کارروائیاں اور معیار کی جانچ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں پیداواری صلاحیت بڑھانے اور صنعتی ترقی کے لیے اٹھائے گئے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں طبی سہولیات کی دوردراز علاقوں تک توسیع اور ٹیلی میڈیسن کے مواقع,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں آبی زراعت اور جدید سنچائی طریقوں سے پانی کی بچت کے اقدامات,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں روایتی دستکاری اور ہنر کے فروغ اور بین الاقوامی مارکیٹ تک رسائی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پاکستان میں شہری اور دیہی علاقوں کے درمیان ترقی کے فرق کو کم کرنے کی تجاویز,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
what are the latest developments in pakistan cricket team selection for world cup tournament,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how has the pakistani economy been affected by global inflation and rising dollar rate,long,LONG (Rule1: reasoning marker),True
what is the current situation of technology startups in pakistan and their growth prospects,long,LONG (Rule3: conjunction),True
explain the recent political developments in pakistan and their impact on national economy,long,LONG (Rule3: conjunction),True
what are the major news stories about pakistan sports achievements in international events,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan dealing with climate change and environmental challenges in recent years,long,LONG (Rule1: reasoning marker),True
what are the recent supreme court decisions affecting common people in pakistan society,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
describe the performance of pakistan stock exchange in recent months and investment trends,long,LONG (Rule3: conjunction),True
what new films and dramas have been released in pakistan entertainment industry this year,long,LONG (Rule3: conjunction),True
how is pakistan performing in international cricket tournaments and bilateral series,long,LONG (Rule1: reasoning marker),True
what steps has the government taken to reduce unemployment among youth in pakistan,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan managing its relations with india and what are the recent border issues,long,LONG (Rule1: reasoning marker),True
what are the effects of cpec on pakistan economy and infrastructure development,long,LONG (Rule3: conjunction),True
explain the current situation of education system in pakistan and needed reforms,long,LONG (Rule3: conjunction),True
what measures has pakistan taken to control dengue fever and other infectious diseases,long,LONG (Rule3: conjunction),True
how has the dollar rate affected ordinary people and businesses in pakistan recently,long,LONG (Rule1: reasoning marker),True
what is the progress of dam construction projects in pakistan and their benefits,long,LONG (Rule3: conjunction),True
explain the causes of load shedding in pakistan and government plans to fix it,long,LONG (Rule3: conjunction),True
what are the challenges faced by pakistan in achieving sustainable economic growth,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan addressing the issue of corruption in government institutions,long,LONG (Rule1: reasoning marker),True
what is the current state of press freedom and media censorship in pakistan,long,LONG (Rule3: conjunction),True
explain the impact of floods on pakistan agriculture and food security situation,long,LONG (Rule3: conjunction),True
what are the opportunities for freelancing and it jobs for young people in pakistan,long,LONG (Rule3: conjunction),True
how is pakistan handling the refugee crisis from afghanistan and border management,long,LONG (Rule1: reasoning marker),True
what new technology initiatives has the government launched for digital pakistan vision,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
explain the problems faced by farmers in pakistan and government support programs,long,LONG (Rule3: conjunction),True
what are the causes of rising inflation in pakistan and how is government tackling it,long,LONG (Rule1: reasoning marker),True
how has pakistan improved its relations with gulf countries and what are the benefits,long,LONG (Rule1: reasoning marker),True
what is the situation of human rights in pakistan and recent violations reported,long,LONG (Rule3: conjunction),True
explain the progress of orange line metro train project and its impact on lahore,long,LONG (Rule3: conjunction),True
what are the main reasons for brain drain from pakistan and how to retain talent,long,LONG (Rule1: reasoning marker),True
how is pakistan promoting renewable energy and reducing dependence on fossil fuels,long,LONG (Rule1: reasoning marker),True
what are the challenges faced by small businesses in pakistan and government support,long,LONG (Rule3: conjunction),True
explain the recent changes in pakistan tax system and their impact on businesses,long,LONG (Rule3: conjunction),True
what measures has pakistan taken to improve the standard of higher education,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan dealing with the problem of water scarcity and drought in rural areas,long,LONG (Rule1: reasoning marker),True
what are the latest developments in pakistan nuclear program and regional security,long,LONG (Rule3: conjunction),True
explain the role of pakistan army in internal security and counter terrorism operations,long,LONG (Rule3: conjunction),True
what is the current situation of minority rights and religious freedom in pakistan,long,LONG (Rule3: conjunction),True
how has social media influenced political discourse and elections in pakistan,long,LONG (Rule1: reasoning marker),True
what are the challenges faced by pakistani women in workforce and business sector,long,LONG (Rule3: conjunction),True
explain the performance of pakistan team in recent asia cup and world cup matches,long,LONG (Rule3: conjunction),True
what are the government plans for affordable housing for low income people in pakistan,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan managing its foreign debt and what is the repayment schedule,long,LONG (Rule1: reasoning marker),True
what steps are being taken to improve law and order situation in karachi city,long,LONG (Rule3: conjunction),True
explain the impact of global supply chain disruptions on pakistan import export,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
what are the opportunities for pakistan in halal food industry and export markets,long,LONG (Rule3: conjunction),True
how is pakistan improving its railway system and transport infrastructure,long,LONG (Rule1: reasoning marker),True
what are the challenges faced by pakistan health system in providing quality care,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
explain the measures taken by pakistan to tackle air pollution and smog problem,long,LONG (Rule3: conjunction),True
what is the situation of child labor in pakistan and government efforts to end it,long,LONG (Rule3: conjunction),True
how has pakistan benefited from remittances sent by overseas pakistanis abroad,long,LONG (Rule1: reasoning marker),True
what are the recent developments in pakistan space program and future missions,long,LONG (Rule3: conjunction),True
explain the impact of sugar and flour shortage on common people in pakistan,long,LONG (Rule3: conjunction),True
what measures has pakistan taken to improve its ranking in ease of doing business,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
how is pakistan promoting tourism in northern areas and what facilities are available,long,LONG (Rule1: reasoning marker),True
what are the problems faced by daily wage workers in pakistan informal economy,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
explain the current status of pak iran gas pipeline project and energy cooperation,long,LONG (Rule3: conjunction),True
what are the causes of rising poverty in rural pakistan and government relief programs,long,LONG (Rule3: conjunction),True
how is pakistan working to improve its image internationally and attract foreign investment,long,LONG (Rule1: reasoning marker),True
سیلاب سے متاثرہ علاقوں میں امدادی کام جاری,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نئی تعلیمی پالیسی پر والدین کا ردعمل,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
لاہور میں فضائی آلودگی خطرناک حد تک بڑھ گئی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پی ایس ایل کا فائنل کب کھیلا جائے گا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
سرکاری ملازمین کی تنخواہوں میں اضافے کا مطالبہ,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
کراچی میں پانی کا بحران شدت اختیار کر گیا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نوجوانوں میں بے روزگاری کیوں بڑھ رہی ہے,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
موبائل انٹرنیٹ کی قیمتوں میں کمی متوقع,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
زلزلے کے بعد ریسکیو ٹیمیں جائے وقوعہ پر پہنچ گئیں,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
طلبہ کے امتحانات کی تاریخوں کا اعلان ہو گیا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نئی گاڑیوں کی قیمتوں میں حالیہ اضافہ کیوں ہوا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پولیس نے شہر میں سرچ آپریشن شروع کر دیا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
گرمی کی شدت سے بجلی کی طلب بڑھ گئی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
وفاقی حکومت نے صحت کارڈ پروگرام میں توسیع کی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نجی اسکولوں کی فیسوں میں اضافے پر احتجاج,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
ملک میں مہنگائی کی شرح کتنی رہ گئی ہے,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نئے ایئرپورٹ کی تعمیر کب مکمل ہوگی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
سوشل میڈیا پر جعلی خبروں کا پھیلاؤ بڑھ گیا,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
پہاڑی علاقوں میں برفباری کی پیشگوئی جاری,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
نوجوان کھلاڑی نے قومی ٹیم میں جگہ بنا لی,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
selab se mutasira ilaqon mein imdad jaari,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
naye school ki fees kitni barh gayi hai,long,SHORT (Rule4: when/how-much),False
lahore mein hawa ki quality kharab ho gayi,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
psl ka final kab khela jaye ga,long,SHORT (Rule4: when/how-much),False
sarkari mulazmeen ki tankhwa mein izafa hoga,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
karachi mein pani ka masla kab hal hoga,long,SHORT (Rule4: when/how-much),False
naujawano mein berozgari kyun barh rahi hai,long,LONG (Rule1: reasoning marker),True
mobile net ki qeemat kam hone wali hai,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
zalzale ke baad rescue team mauqe par pohanch gayi,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
talba ke exams ki date announce ho gayi,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
nai gari ki qeemat kyun barh gayi hai,long,LONG (Rule1: reasoning marker),True
police ne shehar mein search operation shuru kiya,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
garmi ki wajah se bijli ki demand barh gayi,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
wafaqi hakumat ne sehat card mein extension ki,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
private school ki fees pe protest ho raha hai,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
mulk mein mehngai ki rate kitni reh gayi,long,SHORT (Rule4: when/how-much),False
naye airport ka kaam kab tak mukammal hoga,long,SHORT (Rule4: when/how-much),False
social media pe jhoothi khabrein phail rahi hain,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
pahari ilaqon mein barfbari ki pesingoi jari hai,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
naujawan player ne national team mein jaga bana li,long,"UNRESOLVED (§4 bucket - bare event statement, no rule fires)",
